ESC Armed, Spooling up in 2 seconds
Time_ms,Pitch_deg,Error_deg,Gimbal_deg
57658,23.25,-23.25,15.00
57678,23.85,-23.85,15.00
57699,24.60,-24.60,15.00
57719,25.05,-25.05,15.00
57740,25.80,-25.80,15.00
57760,26.40,-26.40,15.00
57781,27.30,-27.30,15.00
57801,28.05,-28.05,15.00
57822,28.65,-28.65,15.00
57842,28.50,-28.50,15.00
57863,28.65,-28.65,15.00
57883,28.80,-28.80,15.00
57904,28.80,-28.80,15.00
57924,28.50,-28.50,15.00
57945,28.35,-28.35,15.00
57965,28.20,-28.20,15.00
57986,28.05,-28.05,15.00
58006,27.90,-27.90,15.00
58027,27.75,-27.75,15.00
58047,27.30,-27.30,15.00
58067,26.55,-26.55,15.00
58088,25.65,-25.65,15.00
58108,25.05,-25.05,15.00
58129,24.60,-24.60,15.00
58149,24.00,-24.00,15.00
58170,23.55,-23.55,15.00
58190,22.95,-22.95,15.00
58211,22.50,-22.50,15.00
58231,22.20,-22.20,15.00
58252,21.75,-21.75,15.00
58272,21.45,-21.45,15.00
58293,21.15,-21.15,15.00
58313,20.85,-20.85,15.00
58334,20.70,-20.70,15.00
58354,20.55,-20.55,15.00
58375,20.40,-20.40,15.00
58395,20.25,-20.25,15.00
58416,20.10,-20.10,15.00
58436,20.10,-20.10,15.00
58457,20.10,-20.10,15.00
58477,20.10,-20.10,15.00
58498,20.10,-20.10,15.00
58518,20.10,-20.10,15.00
58539,20.10,-20.10,15.00
58559,20.10,-20.10,15.00
58579,20.25,-20.25,15.00
58600,20.25,-20.25,15.00
58620,20.40,-20.40,15.00
58641,20.55,-20.55,15.00
58661,20.85,-20.85,15.00
58682,21.15,-21.15,15.00
58702,21.45,-21.45,15.00
58723,21.75,-21.75,15.00
58743,22.05,-22.05,15.00
58764,22.50,-22.50,15.00
58784,22.80,-22.80,15.00
58805,22.95,-22.95,15.00
58825,23.10,-23.10,15.00
58846,23.25,-23.25,15.00
58866,23.10,-23.10,15.00
58887,22.95,-22.95,15.00
58907,22.95,-22.95,15.00
58928,22.95,-22.95,15.00
58948,22.80,-22.80,15.00
58969,22.50,-22.50,15.00
58989,21.90,-21.90,15.00
59010,21.45,-21.45,15.00
59030,21.00,-21.00,15.00
59051,20.55,-20.55,15.00
59071,19.95,-19.95,15.00
59091,19.35,-19.35,15.00
59112,18.90,-18.90,15.00
59132,18.45,-18.45,15.00
59153,17.85,-17.85,15.00
59173,17.40,-17.40,15.00
59194,16.95,-16.95,15.00
59214,16.50,-16.50,15.00
59235,15.90,-15.90,15.00
59255,15.45,-15.45,15.00
59276,15.00,-15.00,15.00
59296,14.40,-14.40,15.00
59317,13.95,-13.95,15.00
59337,13.50,-13.50,15.00
59358,13.05,-13.05,15.00
59378,12.45,-12.45,15.00
59399,12.00,-12.00,15.00
59419,11.40,-11.40,15.00
59440,10.95,-10.95,15.00
59460,10.20,-10.20,11.44
59481,9.60,-9.60,9.78
59501,9.00,-9.00,8.16
59522,8.25,-8.25,4.93
59542,7.50,-7.50,2.14
59563,6.75,-6.75,-0.36
59583,6.00,-6.00,-2.67
59603,5.40,-5.40,-3.21
59624,4.80,-4.80,-4.08
59644,4.35,-4.35,-3.54
59665,3.90,-3.90,-3.56
59685,3.75,-3.75,-0.68
59706,3.45,-3.45,-0.53
59726,3.30,-3.30,0.95
59747,3.15,-3.15,1.81
59767,3.15,-3.15,3.89
59788,3.00,-3.00,3.65
59808,3.00,-3.00,4.99
59829,2.85,-2.85,4.25
59849,2.85,-2.85,5.26
59870,2.70,-2.70,4.30
59890,2.55,-2.55,3.53
59911,2.40,-2.40,2.89
59931,2.25,-2.25,2.34
59952,2.10,-2.10,1.84
59972,1.80,-1.80,-0.25
59993,1.65,-1.65,-0.27
60013,1.35,-1.35,-2.05
60034,1.20,-1.20,-1.85
60054,0.90,-0.90,-3.48
60075,0.75,-0.75,-3.19
60095,0.45,-0.45,-4.76
60115,0.45,-0.45,-2.79
60136,0.15,-0.15,-4.75
60156,0.15,-0.15,-3.04
60177,-0.15,0.15,-5.17
60197,0.00,0.00,-1.94
60218,-0.15,0.15,-2.93
60238,-0.15,0.15,-2.08
60259,-0.15,0.15,-1.52
60279,0.00,0.00,0.50
60300,0.00,0.00,0.33
60320,0.00,0.00,0.22
60341,0.15,-0.15,1.78
60361,0.15,-0.15,1.32
60382,0.15,-0.15,1.01
60402,0.15,-0.15,0.80
60423,0.15,-0.15,0.66
60443,0.15,-0.15,0.57
60464,0.00,0.00,-1.13
60484,-0.30,0.30,-4.03
60505,-0.60,0.60,-6.21
60525,-0.90,0.90,-7.93
60546,-1.20,1.20,-9.33
60566,-1.65,1.65,-12.15
60587,-1.80,1.80,-11.15
60607,-2.10,2.10,-12.24
60627,-2.40,2.40,-13.22
60648,-2.70,2.70,-14.14
60668,-2.85,2.85,-13.36
60689,-3.15,3.15,-14.61
60709,-3.45,3.45,-15.00
60730,-3.60,3.60,-15.00
60750,-3.75,3.75,-14.74
60771,-4.05,4.05,-15.00
60791,-4.20,4.20,-15.00
60812,-4.35,4.35,-15.00
60832,-4.50,4.50,-15.00
60853,-4.65,4.65,-15.00
60873,-4.95,4.95,-15.00
60894,-5.10,5.10,-15.00
60914,-5.40,5.40,-15.00
60935,-5.55,5.55,-15.00
60955,-5.85,5.85,-15.00
60976,-6.15,6.15,-15.00
60996,-6.30,6.30,-15.00
61017,-6.60,6.60,-15.00
61037,-6.90,6.90,-15.00
61058,-7.20,7.20,-15.00
61078,-7.35,7.35,-15.00
61099,-7.65,7.65,-15.00
61119,-7.95,7.95,-15.00
61139,-8.25,8.25,-15.00
61160,-8.55,8.55,-15.00
61180,-8.70,8.70,-15.00
61201,-9.00,9.00,-15.00
61221,-9.15,9.15,-15.00
61242,-9.30,9.30,-15.00
61262,-9.45,9.45,-15.00
61283,-9.60,9.60,-15.00
61303,-9.75,9.75,-15.00
61324,-9.75,9.75,-15.00
61344,-9.90,9.90,-15.00
61365,-9.90,9.90,-15.00
61385,-9.75,9.75,-15.00
61406,-9.75,9.75,-15.00
61426,-9.60,9.60,-15.00
61447,-9.30,9.30,-15.00
61467,-9.00,9.00,-15.00
61488,-8.55,8.55,-14.98
61508,-8.25,8.25,-14.00
61529,-7.65,7.65,-9.82
61549,-7.05,7.05,-6.53
61570,-6.45,6.45,-3.82
61590,-5.55,5.55,1.78
61611,-4.80,4.80,4.63
61631,-3.90,3.90,8.82
61651,-3.15,3.15,10.74
61672,-2.40,2.40,12.65
61692,-1.80,1.80,12.94
61713,-1.35,1.35,12.00
61733,-1.05,1.05,10.12
61754,-0.75,0.75,9.13
61774,-0.60,0.60,7.08
61795,-0.60,0.60,4.21
61815,-0.60,0.60,2.29
61836,-0.75,0.75,-0.62
61856,-0.90,0.90,-2.69
61877,-1.05,1.05,-4.20
61897,-1.20,1.20,-5.33
61918,-1.35,1.35,-6.21
61938,-1.35,1.35,-5.29
61959,-1.35,1.35,-4.68
61979,-1.35,1.35,-4.27
62000,-1.35,1.35,-4.00
62020,-1.20,1.20,-2.18
62041,-1.05,1.05,-0.84
62061,-0.90,0.90,0.18
62082,-0.75,0.75,0.99
62102,-0.45,0.45,3.29
62123,-0.30,0.30,3.45
62143,-0.15,0.15,3.68
62163,-0.15,0.15,2.33
62184,0.00,0.00,3.06
62204,0.00,0.00,2.04
62225,0.15,-0.15,3.00
62245,0.15,-0.15,2.13
62266,0.30,-0.30,3.18
62286,0.30,-0.30,2.38
62307,0.30,-0.30,1.84
62327,0.30,-0.30,1.48
62348,0.30,-0.30,1.24
62368,0.15,-0.15,-0.55
62389,0.00,0.00,-1.88
62409,-0.15,0.15,-2.89
62430,-0.30,0.30,-3.69
62450,-0.45,0.45,-4.35
62471,-0.45,0.45,-3.29
62491,-0.60,0.60,-4.21
62512,-0.60,0.60,-3.32
62532,-0.60,0.60,-2.72
62553,-0.60,0.60,-2.33
62573,-0.45,0.45,-0.43
62594,-0.30,0.30,0.97
62614,-0.15,0.15,2.03
62635,0.00,0.00,2.86
62655,0.15,-0.15,3.54
62675,0.30,-0.30,4.13
62696,0.60,-0.60,6.28
62716,0.75,-0.75,6.34
62737,0.90,-0.90,6.50
62757,1.05,-1.05,6.74
62778,1.05,-1.05,5.39
62798,1.05,-1.05,4.49
62819,1.05,-1.05,3.89
62839,1.05,-1.05,3.49
62860,0.90,-0.90,1.58
62880,0.75,-0.75,0.19
62901,0.60,-0.60,-0.87
62921,0.45,-0.45,-1.71
62942,0.45,-0.45,-0.75
62962,0.45,-0.45,-0.12
62983,0.60,-0.60,1.94
63003,0.75,-0.75,3.44
63024,1.05,-1.05,6.21
63044,1.35,-1.35,8.31
63065,1.65,-1.65,9.96
63085,1.95,-1.95,11.32
63106,2.25,-2.25,12.49
63126,2.55,-2.55,13.52
63147,2.85,-2.85,14.46
63167,3.00,-3.00,13.71
63187,3.30,-3.30,14.97
63208,3.45,-3.45,14.43
63228,3.75,-3.75,15.00
63249,4.05,-4.05,15.00
63269,4.20,-4.20,15.00
63290,4.50,-4.50,15.00
63310,4.65,-4.65,15.00
63331,4.95,-4.95,15.00
63351,5.10,-5.10,15.00
63372,5.25,-5.25,15.00
63392,5.55,-5.55,15.00
63413,5.70,-5.70,15.00
63433,5.85,-5.85,15.00
63454,6.00,-6.00,15.00
63474,6.30,-6.30,15.00
63495,6.45,-6.45,15.00
63515,6.75,-6.75,15.00
63536,7.05,-7.05,15.00
63556,7.35,-7.35,15.00
63577,7.65,-7.65,15.00
63597,7.95,-7.95,15.00
63618,8.10,-8.10,15.00
63638,8.40,-8.40,15.00
63659,8.70,-8.70,15.00
63679,8.85,-8.85,15.00
63699,9.00,-9.00,15.00
63720,9.15,-9.15,15.00
63740,9.30,-9.30,15.00
63761,9.30,-9.30,15.00
63781,9.30,-9.30,15.00
63802,9.30,-9.30,15.00
63822,9.15,-9.15,15.00
63843,9.00,-9.00,15.00
63863,8.85,-8.85,15.00
63884,8.55,-8.55,15.00
63904,8.10,-8.10,14.29
63925,7.80,-7.80,13.16
63945,7.35,-7.35,10.52
63966,6.75,-6.75,6.73
63986,6.15,-6.15,3.70
64007,5.55,-5.55,1.16
64027,4.80,-4.80,-2.68
64048,4.20,-4.20,-4.24
64068,3.60,-3.60,-5.79
64089,3.00,-3.00,-7.34
64109,2.55,-2.55,-7.24
64130,2.10,-2.10,-7.56
64150,1.80,-1.80,-6.53
64171,1.65,-1.65,-4.45
64191,1.50,-1.50,-3.20
64211,1.50,-1.50,-0.85
64232,1.50,-1.50,0.71
64252,1.50,-1.50,1.75
64273,1.65,-1.65,4.08
64293,1.65,-1.65,4.13
64314,1.65,-1.65,4.16
64334,1.80,-1.80,5.82
64355,1.80,-1.80,5.41
64375,1.95,-1.95,6.78
64396,1.95,-1.95,6.18
64416,2.10,-2.10,7.42
64437,2.10,-2.10,6.74
64457,1.95,-1.95,4.65
64478,1.95,-1.95,4.76
64498,1.80,-1.80,3.20
64519,1.50,-1.50,0.40
64539,1.35,-1.35,-0.09
64560,1.05,-1.05,-2.18
64580,0.75,-0.75,-3.83
64601,0.45,-0.45,-5.19
64621,0.45,-0.45,-3.08
64642,0.90,-0.90,3.24
64662,1.20,-1.20,6.20
64683,1.80,-1.80,11.71
64703,2.70,-2.70,15.00
64723,3.45,-3.45,15.00
64744,4.20,-4.20,15.00
64764,4.65,-4.65,15.00
64785,4.95,-4.95,15.00
64805,5.25,-5.25,15.00
64826,5.40,-5.40,15.00
64846,5.70,-5.70,15.00
64867,5.85,-5.85,15.00
64887,6.00,-6.00,15.00
64908,6.00,-6.00,15.00
64928,6.15,-6.15,15.00
64949,6.45,-6.45,15.00
64969,6.90,-6.90,15.00
64990,7.35,-7.35,15.00
65010,8.10,-8.10,15.00
65031,8.85,-8.85,15.00
65051,9.60,-9.60,15.00
65072,10.35,-10.35,15.00
65092,10.95,-10.95,15.00
65113,11.55,-11.55,15.00
65133,12.00,-12.00,15.00
65154,12.60,-12.60,15.00
65174,13.05,-13.05,15.00
65195,13.50,-13.50,15.00
65215,13.95,-13.95,15.00
65235,14.55,-14.55,15.00
65256,15.00,-15.00,15.00
65276,15.45,-15.45,15.00
65297,16.05,-16.05,15.00
65317,16.65,-16.65,15.00
65338,17.25,-17.25,15.00
65358,17.85,-17.85,15.00
65379,18.45,-18.45,15.00
65399,19.05,-19.05,15.00
65420,19.65,-19.65,15.00
65440,20.25,-20.25,15.00
65461,21.00,-21.00,15.00
65481,21.60,-21.60,15.00
65502,22.35,-22.35,15.00
65522,23.10,-23.10,15.00
65543,23.85,-23.85,15.00
65563,24.60,-24.60,15.00
65584,25.50,-25.50,15.00
65604,26.25,-26.25,15.00
65625,27.00,-27.00,15.00
65645,27.60,-27.60,15.00
65666,27.90,-27.90,15.00
65686,28.50,-28.50,15.00
65707,28.05,-28.05,15.00
65727,27.30,-27.30,15.00
65747,26.40,-26.40,15.00
65768,25.35,-25.35,15.00
65788,24.45,-24.45,15.00
65809,24.60,-24.60,15.00
65829,24.45,-24.45,15.00
65850,24.00,-24.00,15.00
65870,24.15,-24.15,15.00
65891,24.15,-24.15,15.00
65911,23.85,-23.85,15.00
65932,22.95,-22.95,15.00
65952,22.05,-22.05,15.00
65973,20.55,-20.55,15.00
65993,20.10,-20.10,15.00
66014,19.20,-19.20,15.00
66034,18.00,-18.00,15.00
66055,16.95,-16.95,15.00
66075,16.20,-16.20,15.00
66096,15.45,-15.45,15.00
66116,14.55,-14.55,15.00
66137,13.35,-13.35,9.68
66157,12.30,-12.30,6.38
66178,11.10,-11.10,1.65
66198,9.90,-9.90,-2.53
66219,8.55,-8.55,-7.97
66239,7.35,-7.35,-11.12
66259,6.30,-6.30,-12.60
66280,5.25,-5.25,-14.48
66300,4.50,-4.50,-13.36
66321,3.75,-3.75,-13.25
66341,3.30,-3.30,-10.55
66362,2.85,-2.85,-9.13
66382,2.55,-2.55,-6.93
66403,1.95,-1.95,-8.99
66423,1.20,-1.20,-12.52
66444,0.30,-0.30,-15.00
66464,-0.60,0.60,-15.00
66485,-1.65,1.65,-15.00
66505,-2.70,2.70,-15.00
66526,-3.60,3.60,-15.00
66546,-4.20,4.20,-15.00
66567,-4.80,4.80,-15.00
66587,-5.25,5.25,-15.00
66608,-5.70,5.70,-15.00
66628,-6.15,6.15,-15.00
66649,-6.45,6.45,-15.00
66669,-6.90,6.90,-15.00
66690,-7.35,7.35,-15.00
66710,-7.80,7.80,-15.00
66731,-8.40,8.40,-15.00
66751,-8.85,8.85,-15.00
66771,-9.45,9.45,-15.00
66792,-10.05,10.05,-15.00
66812,-10.50,10.50,-15.00
66833,-10.80,10.80,-15.00
66853,-11.25,11.25,-15.00
